■科目名,,■開設年度,■区分,■対象学科名,■分類,■単位数,■実施期,■履修条件,■前後期,■担当教員,■代表教員名及び連絡先等,■オフィスアワ－,■講義の概要（目的・内容・方法）,■授業の到達目標及びテーマ,■授業計画,■授業外学習（予習・復習）,■受講要件,■成績の評価基準,■教科書・参考書,■教師としての資質能力に関するチェック項目,アクティブ・ラーニング,アクティブ・ラーニング（その他）,アクティブ・ラーニング(授業回数),■実務経験のある教員による実践的授業,■その他
海外研修プログラム,The overseas training program,2020,総合・共通講義,,,1,,,,教務委員会委員長,　教務委員会委員長,　事前に担当教員に連絡し，日程調整を行うこと。,"　鹿児島大学が主催する下記の「大学間連携・海外研修プログラム」に参加することによって，異なる文化や価値観を体験し，国際的な幅広い視野を身につける。また，本プログラムの体験を通じて，将来，国際的な場で活躍できるための資質や能力を育成する。
　　・「国際プロフェッショナル養成プログラム in カリフォルニア」
　なお，上記の海外研修プログラムの詳細や実施時期，申込方法等については，鹿児島大学研究国際部国際事業課国際事業係が発行している実施要領を参照すること。
",　実施要領等を参照のこと。,実施要領等を参照のこと。,　毎回の受講にあたっては，各自の問題意識を明確にしておくこと。また，復習については，授業において指示された課題等に取り組むこと。,実施要領等を参照のこと。（問い合わせ先：教務係）,"　・研修期間中の活動内容に関するレポート等によって評価を行う。
　・本授業の単位については，「合格」あるいは「不合格」によって認定を行う。
　・本授業の単位は「卒業要件外単位」であるので，注意すること。
",　実施要領等を参照のこと。,"5.協働実践力
　【B連携協働力、自己改善力の育成】集団の中で，役割に応じてリーダーシップを発揮したり，他者と連携･協力して活動したりできる
7.コミュニケーション力
　【B連携協働力、自己改善力の育成】他者とのかかわりや適切なコミュニケーションの在り方について基本的な理解を深め，自らそれを実践することができる
16.情報収集力，分析力，活用力
　【D構想力，展開力，評価力等】情報を収集し，整理･分析することを通して，その情報を活用していくことができる
","グループ・ディスカッション
ディベート
",,,,
教員養成基礎講座I,The Basic Course of Teacher - Training 1,2020,総合・共通講義,,,1,3期,,通年,奥山茂樹、髙味淳,奥山茂樹　電話099-285-3427 Eメール　okuyama@edu.kagoshima-u.ac.jp,"講義後
（教育学部講座会場及び担当者研究室）","　本講座は，教師の魅力や教師としての専門性に関わる内容などを学び，将来教員を目指す者に求められる資質や能力を高めることを目的として，鹿児島大学と鹿児島県教育委員会の連携・協力によって行われる。
　講師には，担当教員や教育学部教員のほか，退職教員，県教委指導主事などを招聘し，教育実践に関する具体的・実践的なテーマを取り上げ，オムニバス方式で進める。
　本講座の受講により，大学における教員免許取得の全体像を理解することができるとともに，教師になるためには大学でどのようなことを学んでいけばよいのかという指針を獲得することができる。","・教師に求められる資質能力，学校組織，教育課程，その他学校教育に係る実践的な教育活動について理解を深める。
・目指す教師像や自己課題を把握し，今後大学で学ぶための見通しをもつ。","第１回「教師を目指す皆さんへ　―教師の魅力―」（教育学部教職支援室）
第２回「教師になるために　―教師としての資質能力―」（教育学部教員）
第３回「子ども理解とカウンセリングマインド」（教育学部教員）
第４回「特別支援教育の基礎」（教育学部教員）
第５回「教育史に学ぶ」（教育学部教員）
第６回「教育関係法規の基礎」（校長経験者）
第７回「教育方法の基礎」（教育学部教員）
第８回「教育心理と学習指導」（教育学部教員）
第９回「国と鹿児島県の教育施策の動向と特徴　―学力向上―」（県教育庁指導主事）
第10回「国と鹿児島県の教育施策の動向と特徴　―生徒指導―」（県教育庁指導主事）
第11回「学習指導要領の基礎」（教育学部教員）
第12回「生きる力をはぐくむ授業づくり1」（教科等別）（県教育庁指導主事）
第13回「生きる力をはぐくむ授業づくり2」（教科等別）（県教育庁指導主事）
第14回「人権教育の推進について」（県教育庁指導主事）
第15回　総括講義（教育学部教員）　
",【予習】各回の授業タイトルに関する情報・資料収集に努め，問題意識をもって授業に臨む【復習】授業における配付資料等の整理・活用を図る。,教員を志望する２年生（全学部対象）,毎授業後のリポートによって合否を総合的に評価する,なし（必要に応じて配布）,"1.教職の意義（使命感・倫理観等）に関する理解
　【A教職の理解】教職の意義と役割を理解し、教育的愛情に支えられた使命感や職責感を持っている
2.教育の理念、制度、歴史等に関する理解
　【A教職の理解】教育の理念を理解し、教育の制度や歴史・思想に関する基礎的な知識を身に付けている
3.教育方法に関する理解
　【A教職の理解】教育方法の理論に関する理解を深め，複式指導や少人数指導，教材開発や活用，授業分析など，指導法や授業改善について理解している
4.学校経営およびその課題に関する理解
　【A教職の理解】学校経営およびその課題（危機管理等）に関する基本的な知識を身に付けており，学校運営の在り方等について構想することができる
6.保護者・地域社会との連携力
　【B連携協働力、自己改善力の育成】学校と家庭や地域社会との連携･協力の在り方について，基本的な理解を深め，自ら連携･協力しようとする態度を身に付けている
7.コミュニケーション力
　【B連携協働力、自己改善力の育成】他者とのかかわりや適切なコミュニケーションの在り方について基本的な理解を深め，自らそれを実践することができる
8.自己改善力
　【B連携協働力、自己改善力の育成】自らの課題を発見し，解決に向けた具体的な方法を企画･実践するとともに，結果を省察して改善につなげることができる
9.学習者の心理・発達に関する理解
　【C学習者理解】子どもの発達や心理など，子ども理解のための基礎的な知識を身に付けており，それらを生かして子どもの発達を分析することができる
10.カウンセリングに関する理解
　【C学習者理解】カウンセリングや教育相談についての基礎的な知識を身に付けており，それらの知識を学習者理解に活かすことができる
11.特別支援教育に関する理解
　【C学習者理解】特別支援教育に関する基本的な知識を身に付けており，それを生かした具体的な指導･支援の在り方を構想することができる
12.学級経営に関する構想力
　【D構想力，展開力，評価力等】学級経営の在り方に関する基礎的な知識を身に付けており，学級等の集団及び集団と個のかかわりなどについて構想することができる
13.生徒指導に関する構想力
　【D構想力，展開力，評価力等】個々人の発達課題の把握や問題行動及びその対応等の理解を深めるとともに，積極的な生徒指導の在り方について構想することができる
16.情報収集力，分析力，活用力
　【D構想力，展開力，評価力等】情報を収集し，整理･分析することを通して，その情報を活用していくことができる
17.各教科等のカリキュラムに関する理解
　【E教科領域等の内容理解】教育課程及びその編成や学習指導要領について，基礎的な知識を身に付けている
19.道徳，特別活動，総合的な学習の時間等に関する理解
　【E教科領域等の内容理解】道徳，特別活動，総合的な学習の時間など，教科以外の教育活動について，その指導内容や指導方法に関する基礎的な知識を身に付けている
",,,,,
教職実践研究I,Research into Teaching Practice 1,2020,総合・共通講義,,,2,3期,以降,前,内　健史　他,迫田孝志　電話：285-7876　Eメールアドレス：sakoda@edu.kagoshima-u.ac.jp,"金曜日 12：00～14：20 （会議・出張等の場合を除く。事前に連絡すれば，他の時間も対応可。）　
初めての指導案作成や模擬授業で、分からないことも多いと思われます。積極的に相談してください。","　教師の中心業務である「学習指導」の基本について「実践的」に学ぶことを目的とした科目です。最終的な到達目標は、本時レベルの学習指導案を自分の力で書き、それに基づいて模擬授業を行うことです。
　具体的には、DVDで実際の授業を見たり、模擬授業を受けたりして、学習指導の基礎的・基本的事項を学びます。次に、附属学校での授業参観を通して、プロの授業に学びながら自分で実際に学習指導案を作成します。最後に、作成した学習指導案に沿って模擬的な授業を行ったり、互いの授業について検討したりして学習指導について学んでいくものです。","１　「学習指導」に関する力量形成を目指して、自分の課題を明らかにしながら、意欲的に授業参観したり、指導案作成を行ったりし、その解決に進んで取り組むことができる。（自己改善力）
２　児童生徒の学力向上を図る授業を目指して、授業前、授業中、授業後の各段階における基礎的・基本的な事項（教育課程の理解や指導法の理解等）を身につけるとともに、一時間の授業を構想し、指導案を作成することができる。（授業デザイン力）
３　学習指導の基礎的・基本的事項についての理解に基づきながら、模擬授業や授業研究を行うことができる。（授業展開力）","《第１ステージ》
１　オリエンテーション（目標、内容等把握、自己課題設定）及び学習指導案についての講義
２　授業の進め方や指導法の工夫
３　きめ細やかな指導、発問や板書の基本
４　学習評価、授業観察と授業設計
《第２ステージ》
５　参観授業の事前研究
６　教材研究の進め方(各教科グループ)ー参観授業の単元を例にー
７　参観授業（附属学校：公開授業の観察、授業研究会）
８　参観授業を通して学んだことに関する協議
９　学習指導案作成１
10 指導案についてのプレゼン、学習指導案の練り直し
《第３ステージ》
11 授業の具体的な準備
12 模擬授業の実施
13 授業研究（各教科グループ）及び授業に関する相互評価
14 学習指導案作成と模擬授業を行っての協議（中グループ）
15 総括講義（学習指導についての振り返り、自己評価及びその変容確認）
","各教科の「学習指導要領解説」を熟読し，教科の目標・内容を確認する。
模擬授業を実施するための教材研究を行い，学習指導案を作成する。",,"観点及び方法
１　自己課題の明確化と協働的取組状況（授業記録、参加態度含む）　　　　　　　３０点
２　学習指導の基礎的・基本的理解及び授業デザイン力（学習指導案の作成）　　　４０点
３　授業展開力（模擬授業及び授業研究の状況）　　　　　　　　　　　　　　　　３０点　　","授業を行う校種・教科の「学習指導要領解説」を各自準備する。
教科書は，教育実践総合センター２階資料室にあるので，積極的に活用する。","3.教育方法に関する理解
　【A教職の理解】教育方法の理論に関する理解を深め，複式指導や少人数指導，教材開発や活用，授業分析など，指導法や授業改善について理解している
5.協働実践力
　【B連携協働力、自己改善力の育成】集団の中で，役割に応じてリーダーシップを発揮したり，他者と連携･協力して活動したりできる
8.自己改善力
　【B連携協働力、自己改善力の育成】自らの課題を発見し，解決に向けた具体的な方法を企画･実践するとともに，結果を省察して改善につなげることができる
9.学習者の心理・発達に関する理解
　【C学習者理解】子どもの発達や心理など，子ども理解のための基礎的な知識を身に付けており，それらを生かして子どもの発達を分析することができる
11.特別支援教育に関する理解
　【C学習者理解】特別支援教育に関する基本的な知識を身に付けており，それを生かした具体的な指導･支援の在り方を構想することができる
13.生徒指導に関する構想力
　【D構想力，展開力，評価力等】個々人の発達課題の把握や問題行動及びその対応等の理解を深めるとともに，積極的な生徒指導の在り方について構想することができる
14.教材分析力及び授業デザイン力
　【D構想力，展開力，評価力等】教材を分析する能力を身に付けており，教材研究にもとづいて授業をデザインすることができる
15.授業展開力及び授業評価力
　【D構想力，展開力，評価力等】基礎的な教育技術や教育評価について理解し，それを活かした授業実践と，授業の評価･改善を行うことができる
16.情報収集力，分析力，活用力
　【D構想力，展開力，評価力等】情報を収集し，整理･分析することを通して，その情報を活用していくことができる
17.各教科等のカリキュラムに関する理解
　【E教科領域等の内容理解】教育課程及びその編成や学習指導要領について，基礎的な知識を身に付けている
18.各教科内容の基盤的知識の理解及び技能の習得
　【E教科領域等の内容理解】教科内容の背景となる学問領域について，基盤的な知識や技能を身に付けている
",,,,,
コンピュータの教育利用,Educational Use of Computer,2020,総合・共通講義,,,2,3期,,後,山本朋弘,山本朋弘（099-285-7920）,メールでも対応可、授業後に質問を受け付けます,"　文部科学省が示した「教育の情報化ビジョン」（平成23年4月）では，ICTの特長を最大限に活かし，子どもたちの多様性を尊重し，「それぞれの強みを発揮させる個に応じた教育」「子どもたちが協働して新たな価値を生み出す教育」の実施を求めている。
　本講義では，このニーズに応えるため，主に「授業中にICTを活用して指導する能力」の習得を目的とする。ICT活用教育を先駆的に行っている学校の事例を紹介しながら，ICTを活用した授業設計，教材開発，評価などの手法を学ぶ。そして模擬授業などの演習を通じ，学校現場でICTを活用し指導するために必要な基礎的知識・技能を習得する。
 ","次のことを理解し，習得することが目標である。
1.ICT活用教育の基本的考え方
2.教育の情報化の目的とICT活用教育の意義
3.授業中にICTを活用して効果的に指導する能力","1.ICTを活用した授業づくりとは
2.電子黒板・タブレット端末等のICT活用と学習効果
3.タブレット端末を活用した協働学習の進め方
4.学校現場におけるICT活用の実際（1）教員によるICT活用
5.学校現場におけるICT活用の実際（2）児童・生徒によるICT活用
6.ICTを活用した授業での教材コンテンツの収集と作成
7.教材コンテンツの発表と相互評価
8.鹿児島の教育の情報化の現状と課題（１）
9.鹿児島の教育の情報化の現状と課題（２）
10.21世紀型スキルを育む「未来の教室」
11.プログラミング教育の目標
12.プログラミング教育と総合的な学習
13.理数教育とプログラミング教育
14.学校CIOとICT支援員の役割
15.授業の総括

※ 鹿児島市学習情報センター，鹿児島県内の学校を見学する予定である
",予習では，教科書や配布資料などを事前に読んでおくこと。また，授業後は，授業内容を復習し，指示した課題などに取り組むこと。,,"課題(40%),演習(40%),発表状況(20%)",,"3.教育方法に関する理解
　【A教職の理解】教育方法の理論に関する理解を深め，複式指導や少人数指導，教材開発や活用，授業分析など，指導法や授業改善について理解している
14.教材分析力及び授業デザイン力
　【D構想力，展開力，評価力等】教材を分析する能力を身に付けており，教材研究にもとづいて授業をデザインすることができる
16.情報収集力，分析力，活用力
　【D構想力，展開力，評価力等】情報を収集し，整理･分析することを通して，その情報を活用していくことができる
18.各教科内容の基盤的知識の理解及び技能の習得
　【E教科領域等の内容理解】教科内容の背景となる学問領域について，基盤的な知識や技能を身に付けている
","グループ・ディスカッション
プレゼンテーション
振り返り(ミニッツ・ペーパー等）
",,１５回中１２回,,
教育工学,Educational Technology,2020,総合・共通講義,,,2,3期,,後,山本朋弘,教育学部附属教育実践総合センター,,"　教育工学とは，「授業者が，授業者の意図に沿って授業をよりよく改善していくために，学習過程の諸問題を分析し，その解決法を考え，実践していくための学問」である。
　本講義では，教育工学研究の基礎を学び，教育メディアを活用した授業の設計・実施・評価手法を習得することが主な目的である。また，「視聴覚教育」の読み替え科目でもあることから，学校教育だけではなく，社会教育・生涯教育において効果的に教育メディアを活用するための知識も身につける。 ","次のことを理解し，習得することが目標である。
1.教育工学の考え方
2.教育工学研究に関わる各種手法
3.教育メディアを活用した授業の構成法
4.社会教育・生涯教育におけるメディア利用","1.教育工学とは
2.教育の情報化の現状と課題
3.授業でのメディア活用と鹿児島県の現状
4.教師に必要なICT活用指導力
5.タブレット端末活用
6.教育情報とシステム
7.情報活用能力の育成
8.プログラミング教育のねらい
9.プログラミング教育の実際
10.遠隔授業の現状と課題
11.遠隔授業システムの活用
12.授業研究とインストラクショナル・デザイン
13.教育メディアを活用した授業設計
14.教育メディアを活用した授業案の発表と討論
15.授業の総括","予習では，配布資料などを事前に読み，レポートを作成すること。
また，授業後は，授業内容を復習し，指示した課題などに取り組むこと。",特になし,"課題(40%),演習(40%),発表状況(20%)",,"3.教育方法に関する理解
　【A教職の理解】教育方法の理論に関する理解を深め，複式指導や少人数指導，教材開発や活用，授業分析など，指導法や授業改善について理解している
14.教材分析力及び授業デザイン力
　【D構想力，展開力，評価力等】教材を分析する能力を身に付けており，教材研究にもとづいて授業をデザインすることができる
16.情報収集力，分析力，活用力
　【D構想力，展開力，評価力等】情報を収集し，整理･分析することを通して，その情報を活用していくことができる
","グループ・ディスカッション
プレゼンテーション
振り返り(ミニッツ・ペーパー等）
",,１５回中１２回,,
複式学級指導法,The teaching methods in combined classes,2020,総合・共通講義,,,2,3期,,前,齋藤　美保子,同上（電話：099-285-7848）,,"鹿児島県には複式学級が北海道に次いで多い。
鹿児島県に多い複式学級について学び，複式学級の担当ができるようになる複式学級の指導法について，各教科について具体的に学ぶ。
複式学級指導法の理論，複式学級指導の実践例，各教科の複式学級指導の実践例など複数の教員が担当して行う。","全国と鹿児島県の複式学級の実情を把握する。
複式学級に関する知識を身につけ，複式学級の指導ができるようになる。
","第1回鹿児島県の複式学級の現状
第2回複式学級の授業構成
第3回複式学級の法・行政的側面
第4回国語の複式指導
第5回算数の複式指導
第6回総合的学習における遠隔教育の活用
第7回附属小学校複式学級見学
第8回社会の複式指導
第9回図工の複式指導
第10回理科の複式指導
第11回音楽の複式指導
第12回体育の複式指導
第13回複式指導における総合的学習
第14回複式指導における道徳教育
第15回家庭科の複式学級

",,,毎回の授業内容をポートフォリオに記録する。その内容で評価する。,長崎・鹿児島・琉球三大学による編集委員会編「複式学級指導法」（東京教学社）,"3.教育方法に関する理解
　【A教職の理解】教育方法の理論に関する理解を深め，複式指導や少人数指導，教材開発や活用，授業分析など，指導法や授業改善について理解している
4.学校経営およびその課題に関する理解
　【A教職の理解】学校経営およびその課題（危機管理等）に関する基本的な知識を身に付けており，学校運営の在り方等について構想することができる
12.学級経営に関する構想力
　【D構想力，展開力，評価力等】学級経営の在り方に関する基礎的な知識を身に付けており，学級等の集団及び集団と個のかかわりなどについて構想することができる
14.教材分析力及び授業デザイン力
　【D構想力，展開力，評価力等】教材を分析する能力を身に付けており，教材研究にもとづいて授業をデザインすることができる
15.授業展開力及び授業評価力
　【D構想力，展開力，評価力等】基礎的な教育技術や教育評価について理解し，それを活かした授業実践と，授業の評価･改善を行うことができる
",,,,,
少人数学級・複式学級の指導法,,2020,総合・共通講義,,,2,3期,,前,内ノ倉、高谷、廣瀬、平野、前田（晶）,,,,,,,,,,,,,,,
学校環境観察実習,School Environment Observation,2020,総合・共通講義,,,1,4期,,後,学校環境観察実習運営委員,2013年度は迫田孝志,,"鹿児島県には離島が多く，教員や自治体職員に採用され任地が離島である場合も多い。離島での学校教育や社会教育について体験を通して知り教育への学習動機を高めることを目的としている。
奄美市にある県立奄美少年自然の家に宿泊し，奄美市・瀬戸内町の小学校や中学校において複式教育をはじめとして小規模校における教育活動を体験的に学ぶとともに，奄美少年自然の家で野外炊さん，クラフト活動，海洋でのカッター訓練などにも取り組み，教職としての力量形成を図る。
",教育に対する興味関心を高める。鹿児島県に多い小規模校を体験的に学ぶ。自然の家の役割について学ぶ。奄美の自然を学ぶ。,"5月～6月：受講者募集(受講登録)
7月：オリエンテーション
8月末：出発前オリエンテーション
9月上旬，約１週間：奄美市・瀬戸内町で実習を通した学習
9月末：本授業のシンポジウム",,,事前のオリエンテーションへの出席・提出物，奄美大島での体験・ミィーティング・提出物，事後のシンポジウムへの出席と提出物などから評価する。,,"1.教職の意義（使命感・倫理観等）に関する理解
　【A教職の理解】教職の意義と役割を理解し、教育的愛情に支えられた使命感や職責感を持っている
3.教育方法に関する理解
　【A教職の理解】教育方法の理論に関する理解を深め，複式指導や少人数指導，教材開発や活用，授業分析など，指導法や授業改善について理解している
4.学校経営およびその課題に関する理解
　【A教職の理解】学校経営およびその課題（危機管理等）に関する基本的な知識を身に付けており，学校運営の在り方等について構想することができる
",,,,,
教職実践研究II,Research into Teaching Practice 2,2020,総合・共通講義,,,2,4期,,不定期,下古立 浩　他,下古立研究室　電話：099-285-7773 　Ｅメールアドレス：shimofuru@edu.kagoshima-u.ac.jp,金曜日第４時限目（14:30～16:00），内容および状況に応じて随時対応可能であるので，事前に連絡をしてください。,"　この科目は，学校体験や学級経営案の作成などを通して，「学級経営」についての基本的な理解を図ることを目的としている。
　学級経営は，学級経営の意義や学級担任の役割のほか，学校経営・学年経営とのつながり，学習指導・生徒指導・保健安全指導などとの関係などを関連付けて，総合的に理解することが必要である。また，具体的なイメージをもつためには，学校現場での学級経営の取組を観察したり，学級経営案を作成したりすることを通して，実感的に理解することが大切である。
　この科目では授業を３段階に分け，ステップ１で講義・演習を中心に学級経営の基本的な考え方を理解し，ステップ２で学校体験（１日）を中心に学級経営の理解を深め，ステップ３で学級経営案の作成・模擬学級ＰＴＡによる経営案の説明会などの演習に取り組む。
　これらの学習を通じて，教師としての自分の長所や課題，今後必要な学習などに気づき，改善につなげることが求められる。また，本科目では離島・へき地における学校教育の講義等も組み入れており，離島・へき地教育への関心を高めることも期待している。
　","学修目標
１　学級経営に関する講義・演習，学校体験及び学級経営案作成演習を通して，学級経営の基本的な考え方や学級担任の役割などを理解することができる。
２  学級担任を仮定した模擬学級ＰＴＡでの学級経営案の説明を通して,教師としての責任や自覚などについて理解することができる。　　　　　　　　　　　　  
３　学校体験やグループ活動等においてすすんでコミュニケーションを図るとともに，課題追究へ協働的に取り組むことができる。
３　少人数の学級や複式学級における学習指導，ＩＣＴを活用した遠隔共同学習の取組等について学び，離島・へき地教育に関心をもつことができる。","≪ステップ１≫
第１回　　オリエンテーション（目標・授業計画・評価基準の説明，事前自己診断）
　　　　　学級経営についての基本的な考え方（講義）
第２回　　学習指導と学級経営，複式学級の学習指導（講義・演習）
第３回　　生徒指導と学級経営（講義・演習）
第４回　　心の教育及び保健安全教育と学級経営（講義）
≪ステップ２≫
第５回　　学校体験に向けて（演習）
第６・７回　学校体験（１１月２７日（金）１日《予定》，日置市内の学校で実地観察）
第８回　　学校体験の振返り・報告レポート作成，事後アンケート（演習）
第９回　　離島・へき地教育，複式学級における学習指導
≪ステップ３≫
第１０回　体験報告会（演習）
第１１回　学級経営案の作成に当たって（講義）
第１２回　学級経営案作成（１）（演習）
第１３回　学級経営案作成（２）（演習）
第１４回　学級経営案発表会
第１５回　総括講義（グループ討議・指導助言），事後自己診断など　　　","授業で活用した資料を整理し，学習指導，生徒指導，道徳，特別活動，保健安全指導などと学級経営の関連について参考図書など読み，理解を深める。
学校体験発表会や模擬学級ＰＴＡ説明会に向けた発表資料やプレゼン資料の作成を行う。
","４期の学生を対象にしているが,３･４年生も受講可能とする。","観点及び方法
１　自己課題の明確化とその改善に向けた取組（ワークシート，ファイル，参加態度）　　　　　　　　30点
２　学級経営の基本的な考え方，学級担任の役割などの理解（ワークシート，発表資料，演習課題など）30点
３　学級経営に関する構想力（学級経営案の作成，発表）　　　　　　　　　　　　　　　　　　40点
※　「学校体験ワークシート」と「学級経営案」の２点は，必須の提出物とする。

",,"1.教職の意義（使命感・倫理観等）に関する理解
　【A教職の理解】教職の意義と役割を理解し、教育的愛情に支えられた使命感や職責感を持っている
4.学校経営およびその課題に関する理解
　【A教職の理解】学校経営およびその課題（危機管理等）に関する基本的な知識を身に付けており，学校運営の在り方等について構想することができる
5.協働実践力
　【B連携協働力、自己改善力の育成】集団の中で，役割に応じてリーダーシップを発揮したり，他者と連携･協力して活動したりできる
6.保護者・地域社会との連携力
　【B連携協働力、自己改善力の育成】学校と家庭や地域社会との連携･協力の在り方について，基本的な理解を深め，自ら連携･協力しようとする態度を身に付けている
7.コミュニケーション力
　【B連携協働力、自己改善力の育成】他者とのかかわりや適切なコミュニケーションの在り方について基本的な理解を深め，自らそれを実践することができる
8.自己改善力
　【B連携協働力、自己改善力の育成】自らの課題を発見し，解決に向けた具体的な方法を企画･実践するとともに，結果を省察して改善につなげることができる
10.カウンセリングに関する理解
　【C学習者理解】カウンセリングや教育相談についての基礎的な知識を身に付けており，それらの知識を学習者理解に活かすことができる
12.学級経営に関する構想力
　【D構想力，展開力，評価力等】学級経営の在り方に関する基礎的な知識を身に付けており，学級等の集団及び集団と個のかかわりなどについて構想することができる
13.生徒指導に関する構想力
　【D構想力，展開力，評価力等】個々人の発達課題の把握や問題行動及びその対応等の理解を深めるとともに，積極的な生徒指導の在り方について構想することができる
19.道徳，特別活動，総合的な学習の時間等に関する理解
　【E教科領域等の内容理解】道徳，特別活動，総合的な学習の時間など，教科以外の教育活動について，その指導内容や指導方法に関する基礎的な知識を身に付けている
","グループ・ディスカッション
フィールドワーク
その他
",,,,
自然体験活動指導論,Teaching Method of Outdoor Education,2020,総合・共通講義,,,2,5期,,前,福満博隆,099-285-8841/fukumitu@edu.kagoshima-u.ac.jp,随時メールで受け付ける。," 近年、自然とふれあう様々な活動が、学校教育の中だけでなく社会教育や家庭教育においても、生涯教育的見地から大切になってきている。そこで、本授業では、直接体験を通じて自然を学び心を育てる自然体験活動について理解するとともに、環境問題も考慮した安全で楽しい自然体験活動の指導法について理解することを目的としている。 
授業の内容は、以下の通りである。
１．自然と人間とのかかわりを考えながら、今日の自然体験活動による教育の必要性を考察する。 
２．自然体験活動のプログラムについて様々な実践を紹介しながら検討する。 
３．自然体験活動の指導者の資質について検討するとともに、環境問題も考慮した楽しく安全に活動するための知識や技術について解説する。 
授業は、配布資料とプロジェクターによる講義と体験から学ぶ実践形式を途中に組み込む。","１．自然体験活動による教育について理解することができる。 
２．自然体験活動の指導者としての知識と技術を習得することができる。 
３．自然体験活動の指導者としての指導能力を高める。","1.オリエンテーション，自然体験活動実践例の紹介（ビデオ）
2.環境教育としての自然体験活動について 
3.子どもの発達における自然体験活動のかかわり 
4.自然体験活動による教育の意義と目標 
5.自然を利用した仲間作り活動（協力ゲーム）の体験
6.自然を意識した自然体験活動（ネーチャーゲーム）の体験
7.自然体験活動と冒険教育の解説 
8.自然体験活動における安全管理その１事故例とその責任
9.自然体験活動における安全管理その２注意義務の構造と事故対策
10.自然体験活動における安全管理その３リスクマネイジメントと危険予知トレーニング
11.危険要因とその対策（動・植物）
12.危険要因とその対策（気象・地形）
13.危険要因とその対策（活動技術，その他）
14.自然体験活動における子どもへの接し方
15.まとめ","【予習】
・次回の授業内容に関する資料を読み、指導者としての観点から自分の考えをまとめておく。
【復習】
・ 授業ごとにその内容に関する自然体験活動指導者の資質についてまとめておく。",H29入以降のみ履修可,"１．授業に対する取り組み姿勢（授業内容に関する感想を含む） 60％
２．レポートによる授業の理解度 40％","・日本野外教育研究会編「野外活動テキスト」（杏林書院） 
・日本野外教育研究会編「キャンプテキスト」（杏林書院）
","3.教育方法に関する理解
　【A教職の理解】教育方法の理論に関する理解を深め，複式指導や少人数指導，教材開発や活用，授業分析など，指導法や授業改善について理解している
5.協働実践力
　【B連携協働力、自己改善力の育成】集団の中で，役割に応じてリーダーシップを発揮したり，他者と連携･協力して活動したりできる
7.コミュニケーション力
　【B連携協働力、自己改善力の育成】他者とのかかわりや適切なコミュニケーションの在り方について基本的な理解を深め，自らそれを実践することができる
9.学習者の心理・発達に関する理解
　【C学習者理解】子どもの発達や心理など，子ども理解のための基礎的な知識を身に付けており，それらを生かして子どもの発達を分析することができる
19.道徳，特別活動，総合的な学習の時間等に関する理解
　【E教科領域等の内容理解】道徳，特別活動，総合的な学習の時間など，教科以外の教育活動について，その指導内容や指導方法に関する基礎的な知識を身に付けている
","グループ・ディスカッション
フィールドワーク
振り返り(ミニッツ・ペーパー等）
",,15回中6回,,
