■対象入学年度,■対象学科名,■科目名,,■前後期,■実施期,■区分,■単位数,■担当教員,■代表者教員連絡先等,■授業の概要（目的と内容）,■受講学生が達成すべき目標,■成績の評価基準,■授業計画,■授業時間外学習,■参考書・教科書,■オフィスアワ－,■修得しておくべき科目・必要な予備知識,■学科の学習・教育到達目標との関連,■授業形態,■備考,■アクティブ・ラーニング,■アクティブ・ラーニング（「その他」の内容）,■アクティブ・ラーニング（授業回数）,■実務経験のある教員による実践的授業
2020,工学部共通,線形代数学I,Linear Algebra I,前期,１年次前期,必修科目,2,"機械：與倉　
電電：村上（雅）　
海土：三隅　
化工：宮嶋（公）　
化生：石川　
情生：二宮
建築：青山究",,　線形代数学は微分積分学とともにすべての数学の基礎である。線形代数学I、IIでは線形代数学の基礎的な概念の習得とその運用を講義する。特に線形代数学Iでは、数ベクトルと行列に関する基礎概念とその運用を学習する。授業内容は数ベクトル、行列、行列式とその連立１次方程式への応用を対象とする。各プログラムの専門科目を理解し、専門研究を遂行するために線形代数学を習得することが必要である。受講により専門科目において線形代数学を活用するために必要な基礎力を養うことを目的とする。,"1. 行列の加減乗算を行うことができる
2. 連立１次方程式を解くことができる
3. 逆行列を計算することができる
4. 行列式を計算することができる
",授業毎の小テスト・レポート・ミニッツペーパー・授業シート等30点、期末試験70点の計100点満点で評価する。,"第1回：行列と数ベクトル
第2回：行列の演算
第3回：行列の分割
第4回：行列と連立１次方程式
第5回：行列の基本変形
第6回：簡約な行列
第7回：連立１次方程式を解く
第8回：正則行列
第9回：復習と問題演習1（行列・連立１次方程式）
第10回：置換
第11回：行列式の定義
第12回：行列式の性質
第13回：余因子行列とクラーメルの公式
第14回：技術者のための外積
第15回：復習と問題演習2（行列式）
第16回：期末試験
",１コマの授業に対して、予習・復習で４時間の授業時間外学習をすること。,"【教科書】三宅敏恒 著 「入門線形代数」 培風館
【参考書】授業中に指定された書籍

",各教員から授業開始時に指示される,なし,,講義,なし,学習の振り返り（ミニッツ・ペーパー等）,,15回中15回,該当しない
2020,工学部共通,微分積分学I,Calculus I,前期,１年次前期,必修科目,2,"機械：宮嶋（公）　
電電：前島　
海土：柿沼　
化工：與倉　
化生：石川　
情生：宮島（廣）
建築：愛甲正　
特ク：田中（恵）",,工学において扱う物理現象、化学現象などは数式を使って表され、それらを扱う際には微分・積分が必ずと言っていいほど出てくる。そのため、微分・積分を習得することは非常に重要である。本講義では、１変数関数の微分・積分について、高等学校において学習した内容を復習しつつ、さらに発展させた内容を学習する。また、専門科目や現場などにおける各現象に対して微分・積分を適用するにあたり、正しく扱うための計算力も必要になる。演習や自宅学習等を通して、計算力も養う。,"1. 一変数関数の導関数を求めることができる
2. テイラー展開を求めることができる
3. 様々な関数のグラフを描くことができる
4. 一変数関数の（広義）積分を計算することができる
5. 定積分を用いて面積や体積などを求めることができる",授業毎の小テスト・レポート等30点、期末試験70点の計100点満点で評価する。,"第1回：微分法
第2回：初等関数の微分（べき、3角関数、指数関数、対数関数）
第3回：初等関数の微分（双曲線関数、逆3角関数）
第4回：復習と問題演習1（微分法・初等関数の微分）
第5回：高階導関数（初等関数）
第6回：高階導関数（ライプニッツの公式）
第7回：平均値の定理
第8回：テイラーの定理
第9回：関数の増減と極値
第10回：復習と問題演習2（高階導関数・平均値の定理・テイラーの定理）
第11回：不定積分
第12回：定積分
第13回：定積分の応用
第14回：広義の積分
第15回：復習と問題演習3（積分法）
第16回：期末試験",１コマの授業に対して、予習・復習で４時間の授業時間外学習をすること。,"【教科書】水本久夫著「微分積分学の基礎」培風館（異なる教科書を使用する場合は、開始前に教員から連絡する）
【参考書】授業中に指定された書籍
",各教員から授業開始時に指示される,なし,,講義,なし,学習の振り返り（ミニッツ・ペーパー等）,,15回中13回,該当しない
2020,工学部共通,物理学基礎I,Basic Study on Physics I,前期,１年次前期,必修科目,2,"機械：駒崎・中尾　
電電：大畠　
海土：古川　
化生：橋本　
化工：溜池　
情生：小山（佳）
建築：陳麗　
特ク：濱崎　",,　工学は数学および物理学を基礎として発展したものである。物理学の中でも力学は、機械動作からロケットの運動まで物体の運動に関する分野の工学の基礎として重要な位置を占めており、現代の工業技術の根幹を支える学問の一つである。本講義は、運動の法則、エネルギー保存則など高校物理で学んだ力学の内容を微積分やベクトルなどの数学的手法により表現することで、各力学分野を少数の自然法則により系統的に理解できるようにすることを目的としている。,"（1）初等力学の基本用語、物理法則の内容を理解できる。
（2）ベクトルや微分積分などの数学の道具を使って、物体の運動を記述できる。（3）それぞれの力学系について、運動方程式をもとにして物体の運動や物体に働く力を求めることができる。
（4）典型的な運動を理解し、類別することで、現実の諸現象との対応を見出せる。
",小テスト・レポート（４割）、中間演習（３割）、期末試験（３割）により総合的に評価する。,"１．ガイダンス、序論
２．運動（１章）
３．運動の法則と力の法則（２章）
４．力と運動（３章）
５．振動（４章）
６．仕事とエネルギー（５章）－仕事－
７．仕事とエネルギー（５章）－エネルギー保存則－
８．中間演習
９．質点の角運動量と回転運動の法則（６章）
10．質点系の力学（７章）
11．剛体の力学（８章）－慣性モーメント－
12．剛体の力学（８章）－剛体の平面運動－
13．慣性力（９章）
14．弾性体の力学（１０章）
15．流体の力学（１１章）
16．期末試験

",１コマの授業に対して、予習・復習で４時間の授業時間外学習をすること。,"原康夫「第5版物理学基礎」学術図書出版
",各教員から授業開始時に指示される,高校レベルの物理と数学を修得していることが望ましい。未修の場合は参考書などを参照すること。,,講義,,学習の振り返り（ミニッツ・ペーパー等）,,15回中14回,該当しない
2020,工学部共通,工学概論,Experiments and Practices in Engineering,前期,１年次前期,必修科目,2,"機械：上谷、片野田、電電：前島、甲斐（祐）福島、海土：安達、山口、化工：吉田（昌）、二井
化生：門川、橋本、情生：渡邊（睦）、内山、建築：柴田、塩屋、二宮",橋本雅仁、hassy@eng.kagoshima-u.ac.jp,本講義では、機械工学分野、電気電子工学分野、海洋土木工学分野、化学工学分野、情報・生体工学分野、化学生命工学分野及び建築学分野の７つの工学分野に対して、各分野の基礎的な内容、社会的意義や役割、最新技術とその動向などについて概説する。本講義を通じて、各工学分野の概要を把握するとともに、各自が専門とする工学分野（自分野）の認識を深めてほしい。さらに自分野と他の工学分野との関連性や、工学分野全体の中における自分野の位置付けなどについても考え、工学分野全体を俯瞰的に見る力や考える力、多面的な思考力の基礎も培ってほしい。,"１）機械工学分野、電気電子工学分野、海洋土木工学分野、化学工学分野、情報・生体工学分野、化学生命工学分野及び建築学分野の７つの工学分野に対して、各工学分野の概要を把握するとともに、各自が専門とする工学分野（自分野）の認識を深めること。
２）自分野と他の工学分野との関連性や、工学分野全体の中における自分野の位置付けについて把握すること。
３）工学分野全体を俯瞰的に見る力や考える力、多面的な思考力の基礎を身に付けること。
３）海洋土木工学分野
公共工事現場見学や実験・演習を通じて，海洋学と土木工学が融合した海洋土木工学の基本的な知識および社会的役割の理解を目標とする。
４）化学工学分野
環境修復や生活を豊かにする基礎技術として、物質分解、カプセル・微粒子材料の調製、超音波に関する実験を行い、化学工学への興味と理解を深める。
５）情報・生体工学分野
ブロック型プログラミング環境Scratchを用いて、プログラミングの概念の理解と簡単なアプリケーションの作成を行う。
６）化学生命工学分野
化学反応を用いた身近な材料の合成や生体分子モデリング実習を通じて、化学生命工学分野に対する興味や理解を深める。",毎回の授業において、担当教員により課題として出されるレポートまたは演習等により評価する(100%)。各担当教員の成績を総合した評点をこの科目の成績とする。,"第１回：ガイダンス：全員
第２回：機械工学分野概論（機械工学の基礎と構成）：上谷
第３回：機械工学分野概論（機械工学の技術と応用）：片野田
第４回：電気電子工学分野概論（電子デバイス分野，電気エネルギー分野の最新技術とその動向）：前島、甲斐（祐）
第５回：電気電子工学分野概論（通信システム分野の最新技術とその動向）：福島
第６回：海洋土木工学分野概論（海洋土木工学の社会的意義や役割）：安達
第７回：海洋土木工学分野概論（海洋土木プログラムの研究概要）：山口
第８回：化学工学分野概論（化学工学の概要および社会での重要性?）：吉田（昌）
第９回：化学工学分野概論（化学工学の概要および社会での重要性?）：二井
第１０回：情報・生体工学分野概論（画像処理・解析技術とその応用）：渡邊
第１１回：情報・生体工学分野概論（神経回路網の基礎）：内山
第１２回：化学生命工学分野概論（化学生命工学の基礎と社会貢献）：門川、橋本
第１３回：化学生命工学分野概論（化学生命工学の先端技術と応用）：門川、橋本
第１４回：建築学分野概論（建築設計・計画分野について）：柴田
第１５回：建築学分野概論（建築構造分野、建築環境分野について）：塩屋、二宮
",１コマの授業に対して、レポート作成・復習で４時間の授業時間外学習をすること。,"教科書：　毎回の授業において、適宜、担当教員が講義資料を配布する。
参考書：　各担当教員より指示する。
",適宜、各担当教員より指示する。,なし,,講義,,グループワークディベートフィールドワークプレゼンテーション,,機械：3回中3回、電気電子：３回中３回、化学生命：3回中3回、海土担当3回中３回,該当なし
2020,先進工学科共通,工学分野実験・演習,,前期,１年次前期,選択必修,1,機械：高橋、電電：野見山、真中、平山、吉田（賢）、永山、篠原、渡邉（俊）、海土：酒匂、化工：甲斐（敬）、中里、二井、水田、五島、吉田、武井、鮫島、下之薗、化生：山元、金子、石川、上田、情生：渕田    ,,機械工学分野、電気電子工学分野、海洋土木工学分野、化学工学分野、情報・生体工学分野及び化学生命工学分野のそれぞれの実験・演習を通じて、６つの工学分野に対する理解を深めさせるとともに、受講生自身がそれぞれどの工学分野に適性が高いか、どの工学分野に関心が高いかの認識も深めさせる。,"１）機械工学分野
２）電気電子工学分野
本分野の基礎で，未来への鍵となる「モータ」と「電波・無線通信」について、受講者間で討論しながら実験・演習を行い，電気電子への興味と理解を深める。
３）海洋土木工学分野
公共工事現場見学や実験・演習を通じて，海洋学と土木工学が融合した海洋土木工学の基本的な知識および社会的役割の理解を目標とする。
４）化学工学分野
５）情報・生体工学分野
ブロック型プログラミング環境Scratchを用いて、プログラミングの概念の理解と簡単なアプリケーションの作成を行う。
６）化学生命工学分野
化学反応を用いた身近な材料の合成や生体分子モデリング実習を通じて、化学生命工学分野に対する興味や理解を深める。
",毎回の授業において、担当教員により課題として出されるレポートまたは演習等により評価する(100%)。各担当教員の成績を総合した評点をこの科目の成績とする。,"第１回～第３回：機械工学プログラム実験・演習　（自動走行車の組み立てとプログラム）
第４回～第６回：電気電子工学プログラム実験・演習　（電気電子分野の体験実験）
第７回～第９回：海洋土木工学プログラム実験・演習　（社会における海洋土木工学の役割）
第１０回～第１２回：化学工学プログラム実験・演習　（化学工学の応用分野）
第１３回～第１５回：情報・生体工学プログラム実験・演習　（ブロックプログラミング）
第１６回～第１８回：化学生命工学プログラム実験・演習　（化学反応と身近な材料の合成及び分子シミュレーションによる種々の化学反応）
",（不要）,"教科書：　毎回の授業において、適宜、担当教員が講義資料を配布する。
参考書：　各担当教員より指示する。
",適宜、各担当教員より指示する。,特になし,,,,,,,
2020,先進工学科共通,生命工学,Biotechnology,後期,１年次後期,選択必修,2,橋本雅仁、石川岳志、吉本稔、武井孝行  ,橋本雅仁、　099-285-7742、hassy@eng.kagoshima-u.ac.jp,　生物の基本である細胞や生体の構造、働き、仕組みの基礎を概説したのち、細胞、生体を利用した生命工学の最近の発展について解説する。さらに機械、電気、材料、情報などの工学分野と融合した生命科学の先端研究の動向についても解説する。,"１．生物学の基礎について理解する。
２．最近の生命工学について理解する。
３．工学分野での最新の生命科学について理解する。
",小テスト・レポート等(60%)、期末試験(40%),"第１回：ガイダンス、細胞の構造と生命の誕生　：橋本
第２回：生命体を構成する物質　：橋本
第３回：遺伝子の構造と機能　：橋本
第４回：生体とエネルギー　：橋本
第５回：細胞の分裂・情報伝達・がん化　：橋本
第６回：生命体の受精と成長　：橋本
第７回：多細胞生物の自己維持機構　：橋本
第８回：遺伝子工学　：橋本
第９回：タンパク質工学　：橋本
第１０回：細胞工学　：橋本
第１１回：遺伝子組み換え生物　：橋本
第１２回：生命工学と工業　：橋本
第１３回：数理生物学の基礎　：吉本
第１４回：バイオマテリアル　：武井　
第１５回：バイオインフォマティクス　：石川　
第１６回：期末試験
",１コマの授業に対して、レポート作成・復習で４時間の授業時間外学習をすること。,"教科書：　南雲 保 編、やさしい基礎生物学　第２版、羊土社
　　　　　その他、必要に応じて授業時に各担当教員より配布する。
参考書：　田村隆明、生命工学、裳華房
",適宜、各担当教員より指示する。,なし,,講義,,学習の振り返り（ミニッツ・ペーパー等）,,15回中12回,該当しない
2020,先進工学科（機械工学PG）,フレッシュマンセミナーI,Freshman Seminar I,前期,１年次前期,選択科目,1,福原稔、佐藤紘一、池田徹、駒﨑慎一、余永、松﨑健一郎、洪定杓、西村悠樹、中尾光博、中村祐三,"余永　yu@mech.kagoshima-u.ac.jp
電話　099-285-8284",　「機械」が意味する内容は多岐にわたり、航空機、自動車、ロケット、ロボットはもとより、発電所などのプラントなども含まれる。「機械工学」は、これらのものを作るのに必要な学問分野の集大成である。例えば、自動車を考えてみると、安全なボディをつくるためには、軽く強い材料とその加工法の開発が必要であり、設計に当たっては、十分な耐久性や耐衝撃性を持たせるように各部の寸法を決めなければならない。材料力学、材料学、加工学はこれらのために利用される。また、高性能のエンジンは効率の良い燃焼を燃焼室やバルブの形状の工夫によって達成されているし、燃費や走行安定性の向上のためには、車体の空気抵抗を減少する必要がある。熱力学、流体力学がこの分野で活躍する。さらには、機能を最適にするようにコントロールしたり、急ブレーキをふんでも横すべりしないようにするために制御工学がある。本講義は、機械工学科の教員各自の専門分野に関係した入門講義を通して、機械工学の概要を理解することを目的とする。下記の授業計画は前年度の例であり、年度により内容は変わる。下記の授業計画は予定であり、開講時に正確な内容を提示する。,　この授業では、以下の能力を修得することを目標とする。１）機械工学関連分野の広がりを理解し、各人興味のある分野を見出す、２）レポート作成を通して基本的な日本語文章の書き方を理解する。,　毎回の課題レポート(100%)を総合的に評価して目標に対する学習到達度を算定する。最終成績は、全テーマの評価の平均値90％以上をＡ、80～90％をＢ、70～80％をＣ、60～70％をＤ、60％未満をＦとする。,"1.  オリエンテーション・機械工学の役割など
2.  物理学と機械工学の歴史と未来
3.  原子炉とその構造材料の劣化
4.  機械材料の話
5.  機械工学における機械力学の役割
6.  航空機エンジンの破壊
7.  知能ロボットと自動化
8.  スケールが流動と伝熱に及ぼす影響
9.  航空機の話
10. 流体工学の役割
11. 制御理論と機械工学との関わり
12. 未定（見学会，討論会，講演会など）
13. 未定（見学会，討論会，講演会など）
14. 未定（見学会，討論会，講演会など）
15. 未定（見学会，討論会，講演会など）
（講義の順番については4月に改めてお知らせします。）

",本講義では機械工学全般に関する基礎ならびにトピックスについて学ぶが，それぞれのトピックスに関連した自宅学習を課す．授業外学習時間は授業時間の２倍である．,"教科書：特に指定しないが、各テーマの担当教員から資料等が配布される場合もある。
参考書：特に指定しないが、機械工学に関する入門書を勧める：日本機械学会「機械工学総論」（丸善）、坂本卓「おもしろ話で理解する機械工学入門」（日刊工業）、他。",　各担当教員がオフィスアワーの曜日と時間帯を説明する。,特になし,教育目標（６）、（７）,講義,,,,15回中0回,該当しない
2020,先進工学科（機械工学PG）,フレッシュマンセミナーII,Freshman Seminar II,後期,１年次後期,必修科目,1,佐藤紘一、木下英二、中尾光博、定松直、西村悠樹、田淵大介、小田美紀男、大高武士、郭永明,佐藤紘一  099-285-8265　   ksato@mech.kagoshima-u.ac.jp,　受講生は９グループに分かれて、機械や機械製品を分解し、それらの働きや特徴について考察する。分解する過程で、各部品のスケッチを行いその役割（部品の機能）について考察をしてゆく。簡単な機械でも、一つ一つの部品に固有の働きがあり、それらが様々な役割（機能）を分担することにより、機械や機械製品全体の働き（機能）が実現されることを学ぶ。また、機械や機械製品に直接触れることにより、２年次から学習する専門科目に対する興味を深めることも目的である。なお、部品スケッチ等は授業時間中に行うが、各部品の役割などに関する考察は各自授業時間以外でも行う。さらに、部品のスケッチや各部品の役割や機械や機械製品の働きに関する考察をレポートのまとめ、簡単な発表を行い、グループ討論を行うことを通して、総合的に文章力、発表能力等を養う。,　この授業では、以下の能力を修得することを目標とする。１）機械部品の役割に対する理解を深め、それらの役割を洞察する、２）レポートにより、簡潔かつ的確に自分の考えを伝達する、３）発表と討論を通じて、自分の意見を他人に伝え、他人の意見を理解し、共通点や相違点の整理ができ、さらに自分の意見や考え方を修正する。,　各部品と機械や機械製品の働きに関するレポート60％、発表・討論40％として、総合的に成績評価を行い、目標に対する学習到達度90％以上をＡ、80～90％をＢ、70～80％をＣ、60～70％をＤ、60％未満をＦと評価する。ただし、部品スケッチ、レポートを提出しない、あるいは発表・討論をしない場合は不合格とする。,"1． ガイダンス・機械や機械製品の概要説明
2． 機械や機械製品の分解
3． 部品（足回り※）のスケッチと役割の考察
4． 部品（動力伝達系※）のスケッチと役割の考察
5． 部品（操舵装置※）のスケッチと役割の考察
6． 部品（差動装置※）のスケッチと役割の考察
7． 部品（その他※）のスケッチと役割の考察
8． 機械や機械製品の再組立
9． 機械や機械製品の動作確認
10．機械や機械製品の働きと各部品の役割について文献などを用いた調査
11．機械や機械製品の働きと各部品の役割について各グループ内で討論
12．レポートの作成と提出
13．発表準備
14．各グループによる発表
15．発表の振り返りとグループ間の討論・総括
※電動式ラジコンカーを用いた場合の例
",授業で扱う機械部品について理解を深めることができるように、図書館やインターネットを上手に利用して自主的に学習しておくこと。また、身近で活用されている機械部品を常日頃から観察し、機械についての知識を得ておくこと。これらの授業時間外学習は１５時間以上行うこと。,教科書：特になし   参考書：特になし,　第一回目に担当教員がオフィスアワーの曜日と時間帯を説明する。,特になし,　教育目標（５）、（７）,演習,,グループワークプレゼンテーション,,15回中15回,該当しない
2020,先進工学科（機械工学PG）,工業力学I及び演習 A&B,Engineering Mechanics I A&B,後期,１年次後期,選択必修,3,高橋淳二、小田美紀男,高橋　淳二　　099-285-8270   takahashi@mech.kagoshima-u.ac.jp,力学は力とそれによる物体の運動に関する学問である。したがってほとんどすべての機械工学の専門科目の基礎となる。本科目によって，力学における物理量と基本法則及び力学現象への適用法を十分理解する必要がある。本講義では「運動と振動」分野の≪運動の法則≫を４コマ（正味６時間）と＜質点の力学＞について３コマ（正味４.５時間），＜質点系の力学＞について３コマ（正味４.５時間），＜剛体の力学＞について４コマ（正味６時間）の授業を行う。本講義は２つのクラスに分けて行う。クラス分けは授業開始前に掲示するので各自確認すること。,この授業では以下の能力を修得することを目標とする。１）運動の第１法則から第３法則，およびこれらから導かれる仕事と力学エネルギーを理解する。２）質点について運動を記述し，解析する。３）質点系の角運動量と力のモーメントを理解する。４）質点系の重心に関する並進運動と回転運動を解析する。５）剛体系の慣性モーメントと剛体運動の基礎を理解する。,中間試験，期末試験を合わせて６０％，演習の小テスト・レポート等を４０％の重みで総合的に成績評価を行い，目標に対する学習到達度９０％以上をＡ，８０～９０％をＢ，７０～８０％をＣ，６０～７０％をＤ，６０％未満をＦと評価する。,"1． 運動学（空間と時間，座標，位置，速度，加速度）
2． 運動の第１法則，第２法則および第３法則，運動量保存則　：≪運動の法則≫
3． 運動量と力積，運動エネルギー　　　　　　　　　　　　　：≪運動の法則≫
4． 質点の簡単な運動（直線運動，斜面の運動，単振動）　　　：＜質点の力学＞
5． 振り子の運動と微分方程式　　　　　　　　　　　　　　　：＜質点の力学＞
6． １次元の運動エネルギーと位置のエネルギー　　　　　　　：≪運動の法則≫
7． ２次元運動（放物体の運動，円運動，円錐振り子の運動）　：＜質点の力学＞
8． ベクトルを用いた仕事，運動エネルギーおよびポテンシャルエネルギーの表現：≪運動の法則≫
9． 質点系の運動量保存則，質量中心（重心）　　　　　　　　：＜質点系の力学＞
10．角運動量，重心回りの運動と重心運動の分離　　　　　　　：＜質点系の力学＞
11．質点系の運動エネルギーの記述　　　　　　　　　　　　　：＜質点系の力学＞
12．剛体の運動方程式，固定軸をもつ剛体の運動　　　　　　　：＜剛体の力学＞
13．剛体の慣性モーメントI　 　　　　　　　　　　　　　　　：＜剛体の力学＞
14．剛体の慣性モーメントII　　　　　　　　　　　　　　　　：＜剛体の力学＞
15．簡単な剛体運動（斜面を転がる球，玉突問題，打撃の中心）：＜剛体の力学＞
","講義の復習，次回講義の予習をするための課題を課す機会を設ける。
授業時間外学習は１単位あたり３０時間以上行うこと。","教科書：末岡淳男・綾部隆著，機械力学（森北出版）
参考書：末岡淳男ほか著，機械力学演習（森北出版）","水曜日１３：００～１４：００を予定しているが，授業開始時に改めて説明する。
",授業は数学や物理に関する知識を基礎として進めるので，物理学基礎ＡI，物理学実験，微分積分学ＡI等の科目を履修していることが望ましい。,教育目標（３），（４），（７）,講義・演習,,学習の振り返り（ミニッツ・ペーパー等）,,１５回,
2020,先進工学科（機械工学PG）,微分積分学II,Calculus II,後期,１年次後期,必修科目,2,宮嶋公夫,,"目的：専門科目の基礎となる数学を修得する。
内容：多変数関数の微分と積分。","（１）多変数の微分の定義と関連する定理を理解し応用する能力の修得。
（２）多変数の積分の定義と関連する定理を理解し応用する能力の修得。",小試験＆小レポート(30％)＋期末試験(70%),"第 1回 多変数の関数
第 2回 全微分可能性と合成関数の微分
第 3回 高次の偏導関数とテーラーの定理
第 4回 陰関数の定理
第 5回 第1～4回の補遺
第 6回 重積分(前半)
第 7回 重積分(後半)
第 8回 重積分の変数変換
第 9回 線積分とグリーンの定理
第10回 重積分の応用
第11回 ガンマ関数とベータ関数
第12回 第6～11回の補遺
第13回 級数入門
第14回 微分方程式入門
第15回 まとめ
第16回 期末試験
",毎回3時間程度，教科書の予習・復習を必要とする。,"教科書：三宅敏恒著，入門微分積分，培風館。
参考書：三宅敏恒著，微分積分の演習，培風館。他別途指示。",別途指示。,「微分積分学ＡＩ」，高等学校の（理系）数学の知識を必要とする。,,講義,,その他,問題演習。,15回中12回,
